wss_bytes,wss_kib,latency_ns
256,0.25,1.5679634927703445
320,0.3125,1.5679269699816722
384,0.375,1.5681512199041203
448,0.4375,1.5678816817237184
512,0.5,1.5679269699816722
576,0.5625,1.5679255090701252
640,0.625,1.5678970212949608
704,0.6875,1.5678648812409293
768,0.75,1.56797737143004
832,0.8125,1.5679503445664225
896,0.875,1.5679393877298207
1024,1.0,1.6218908511565755
1088,1.0625,1.6206198581107787
1152,1.125,1.6184562481098304
1216,1.1875,1.6194321370231548
1344,1.3125,1.652726311176844
1408,1.375,1.5679781018858134
1536,1.5,1.5679174740566173
1600,1.5625,1.570004386201354
1728,1.6875,1.5699313406240092
1856,1.8125,1.5679510750221959
2048,2.0,1.5678933690160937
2176,2.125,1.5678721857986637
2304,2.25,1.6185139541159326
2496,2.4375,1.576966360178072
2688,2.625,1.567902134485375
2880,2.8125,1.569970054780002
3072,3.0,1.5678729162544371
3264,3.1875,1.569962019766494
3520,3.4375,1.5699642111338143
3776,3.6875,1.5686501211973842
4096,4.0,1.567943040008688
4352,4.25,1.5678575766831948
4672,4.5625,1.6206673377360528
4992,4.875,1.6216278870781349
5376,5.25,1.568247640066215
5760,5.625,1.6224386929866603
6208,6.0625,1.5679737191511727
6592,6.4375,1.5679174740566173
7104,6.9375,1.5679211263354846
7616,7.4375,1.6206403108724352
8192,8.0,1.642413736567327
8768,8.5625,1.5680489560958377
9408,9.1875,1.5679057867642423
10048,9.8125,1.5679057867642423
10752,10.5,1.568234491862293
11584,11.3125,1.587784410182814
12416,12.125,1.5709525177952874
13248,12.9375,1.569953984752986
14208,13.875,1.5679861368993213
15232,14.875,1.6206395804166618
16384,16.0,1.604833247935054
17536,17.125,1.568230839583426
18816,18.375,1.6323181073225237
20160,19.6875,1.5693535501072131
21568,21.0625,1.568119810305862
23168,22.625,1.5681767858561908
24832,24.25,1.5681424544348388
26560,25.9375,1.5683491734187243
28480,27.8125,1.6216351916358693
30528,29.8125,1.568476272723304
32768,32.0,1.6316497402898202
35072,34.25,1.5767180052151002
37632,36.75,1.578296520141518
40320,39.375,1.6235891608298385
43200,42.1875,1.5698349204619142
46336,45.25,1.571918910783557
49664,48.5,2.002673793575343
53184,51.9375,4.633119540244901
57024,55.6875,4.717417058323715
61120,59.6875,4.698592482586227
65536,64.0,4.684106083687237
70208,68.5625,4.705991999571239
75264,73.5,4.700943089265177
80640,78.75,4.6987246950812205
86464,84.4375,4.726959002092245
92672,90.5,4.701878072655188
99328,97.0,4.698462461458553
106432,103.9375,4.702901441193787
114048,111.375,4.7174791470644575
122240,119.375,4.715839273853071
131072,128.0,4.704183391076185
140416,137.125,4.703017583661765
150528,147.0,4.707070152292846
161344,157.5625,4.7059934604827856
172928,168.875,4.706222093139875
185344,181.0,4.708582926199654
198656,194.0,4.706096454746842
212864,207.875,4.718600396676698
228160,222.8125,4.709232301382247
