wss_bytes,wss_kib,latency_ns
256,0.25,1.5696691351729217
320,0.3125,1.6054258261371257
384,0.375,1.5699094561332132
448,0.4375,1.8990359506112877
512,0.5,1.6208984054103535
576,0.5625,1.6159079105753666
640,0.625,1.6213498289771013
704,0.6875,1.6208633433857518
768,0.75,1.6058597186915728
832,0.8125,1.8459892987653304
896,0.875,1.6271357934952413
1024,1.0,1.9185837597856266
1088,1.0625,1.5704982059629846
1152,1.125,1.9243193226434012
1216,1.1875,2.146378811788016
1344,1.3125,1.8173056408056898
1408,1.375,1.717859512611196
1536,1.5,1.5698437148370847
1600,1.5625,1.5698743941086113
1728,1.6875,1.620692416015818
1856,1.8125,1.7825898536968512
2048,2.0,1.6713650766126964
2176,2.125,1.592699772124371
2304,2.25,1.7465972245254309
2496,2.4375,1.8517350880469472
2688,2.625,1.565935029552832
2880,2.8125,1.9390168850811604
3072,3.0,2.0044908332719116
3264,3.1875,1.5691687708635005
3520,3.4375,1.5683017162134523
3776,3.6875,1.739915717462254
4096,4.0,1.8765012952161846
4352,4.25,1.6202271137309985
4672,4.5625,1.596989756926168
4992,4.875,1.8097789928578407
5376,5.25,1.6211964326194686
5760,5.625,1.7072357191568563
6208,6.0625,1.5699934589004882
6592,6.4375,1.5705968179071772
7104,6.9375,1.6609611512709637
7616,7.4375,2.265200360869223
8192,8.0,1.691568837830627
8768,8.5625,1.5700336341370111
9408,9.1875,1.6965914728548321
10048,9.8125,1.6318866978287825
10752,10.5,1.570338965934585
11584,11.3125,1.7820383572682188
12416,12.125,1.5829598338735344
13248,12.9375,1.6966769365397991
14208,13.875,1.5699321003574351
15232,14.875,1.7361465498175626
16384,16.0,1.56934042869228
17536,17.125,1.5699649710054993
18816,18.375,1.7043876601168073
20160,19.6875,1.8723121137351175
21568,21.0625,1.5699138388862883
23168,22.625,1.6226200969100701
24832,24.25,1.621774956025398
26560,25.9375,1.5775632039202436
28480,27.8125,1.5847282747393867
30528,29.8125,1.6210101656137716
32768,32.0,1.9726756982400244
35072,34.25,1.6476434255930539
37632,36.75,1.5714536461333832
40320,39.375,1.5712038292080956
43200,42.1875,1.637324233477442
46336,45.25,1.6222950427236578
49664,48.5,2.082513333975871
53184,51.9375,4.63771462216181
57024,55.6875,5.195586495600751
61120,59.6875,5.000586123942561
65536,64.0,5.145902145822335
70208,68.5625,4.859289086632766
75264,73.5,4.7642271724311875
80640,78.75,4.781330866307243
86464,84.4375,4.708233849600989
92672,90.5,4.883918697997826
99328,97.0,5.266357000882909
106432,103.9375,4.9070384509284715
114048,111.375,4.773893334338591
122240,119.375,4.89497857538315
131072,128.0,4.891585594044082
140416,137.125,4.721521626466218
150528,147.0,4.830827488162271
161344,157.5625,5.006594878408691
172928,168.875,4.900424146079114
185344,181.0,5.9684623561920445
198656,194.0,5.031789864920455
212864,207.875,4.869788702083309
228160,222.8125,4.884548353522966
244544,238.8125,4.915094681539577
262144,256.0,4.98837942616922
280896,274.3125,4.901245912280719
301120,294.0625,4.843843534336836
322688,315.125,4.838097014596373
345856,337.75,5.386018577636867
370688,362.0,5.775445910759238
397312,388.0,6.728059205424258
425792,415.8125,5.560154122821614
456384,445.6875,5.298183092797484
489152,477.6875,5.414887772143359
524288,512.0,5.436433386261154
561856,548.6875,5.574384922056861
602240,588.125,5.99930671141777
645440,630.3125,6.413620046960101
691776,675.5625,5.905909512925929
741440,724.0625,5.881604225288435
794624,776.0,6.593060914742404
851648,831.6875,5.964606263944694
912832,891.4375,6.391096348447686
978304,955.375,6.821824555174418
1048576,1024.0,6.841687192111326
1123776,1097.4375,7.162717280741774
1204480,1176.25,8.260860621728407
1290944,1260.6875,8.001047367134978
1383552,1351.125,15.891587267772447
1482880,1448.125,18.468730809229488
1589312,1552.0625,21.925287633948027
1703360,1663.4375,26.18694378078459
1825664,1782.875,25.363894162988146
1956672,1910.8125,26.59308620367701
2097152,2048.0,30.4931652218077
2247616,2194.9375,32.402518173158064
2408960,2352.5,30.45389648471255
2581888,2521.375,27.62826837490269
2767168,2702.3125,29.12152347975026
2965760,2896.25,38.86992263539845
3178688,3104.1875,29.9722114688979
3406784,3326.9375,83.71260564683804
3651328,3565.75,41.47231886961608
