wss_bytes,wss_kib,latency_ns
512,0.5,1.737833023071289
640,0.625,1.537322998046875
768,0.75,1.5351374944051106
896,0.875,1.539468765258789
1024,1.0,1.5367666880289712
1152,1.125,2.4826526641845703
1280,1.25,1.535495122273763
1408,1.375,1.535216967264811
1536,1.5,1.561919848124186
1664,1.625,1.5350182851155598
1792,1.75,1.5369256337483723
2048,2.0,1.535177230834961
2176,2.125,1.5350182851155598
2304,2.25,1.5352567036946614
2432,2.375,1.5350580215454102
2688,2.625,1.5350182851155598
2816,2.75,1.5356143315633137
3072,3.0,1.5366872151692708
3200,3.125,1.5356143315633137
3456,3.375,1.5351374944051106
3712,3.625,1.5534162521362305
4096,4.0,1.7686287562052407
4352,4.25,1.5359322230021157
4608,4.5,1.535495122273763
4992,4.875,1.5350182851155598
5376,5.25,1.535177230834961
5760,5.625,1.535813013712565
6144,6.0,1.5354553858439126
6528,6.375,1.5526215235392251
7040,6.875,1.5356938044230142
7552,7.375,1.535177230834961
8192,8.0,1.535177230834961
8704,8.5,1.5355348587036133
9344,9.125,1.5352964401245117
9984,9.75,1.5350580215454102
10752,10.5,1.5351374944051106
11520,11.25,1.5356938044230142
12416,12.125,1.535216967264811
13184,12.875,1.5354553858439126
14208,13.875,1.5352567036946614
15232,14.875,1.536726951599121
16384,16.0,1.5389124552408853
17536,17.125,1.5399456024169922
18816,18.375,1.535216967264811
20096,19.625,1.5351374944051106
21504,21.0,1.5350580215454102
23168,22.625,1.536250114440918
24832,24.25,1.535177230834961
26496,25.875,2.3403565088907876
28416,27.75,1.5724500020345051
30464,29.75,1.535177230834961
32768,32.0,1.5352964401245117
35072,34.25,1.5365282694498696
37632,36.75,1.5380779902140298
40320,39.375,1.542369524637858
43136,42.125,1.5371243158976235
46336,45.25,1.5350977579752603
49664,48.5,1.5349785486857095
53120,51.875,1.5353759129842122
56960,55.625,1.5390714009602864
61056,59.625,1.5381971995035806
65536,64.0,1.5350977579752603
70144,68.5,1.5404621760050454
75264,73.5,1.5354553858439126
80640,78.75,1.5353361765543618
86400,84.375,1.538395881652832
92672,90.5,1.5352567036946614
99328,97.0,1.5385150909423828
106368,103.875,1.5353361765543618
114048,111.375,1.5381574630737305
122240,119.375,1.5396674474080403
131072,128.0,1.5418132146199544
140416,137.125,4.101117451985677
150528,147.0,6.5699418385823565
161280,157.5,7.0285797119140625
172928,168.875,7.204929987589518
185344,181.0,8.25830300649007
198656,194.0,8.577426274617512
212864,207.875,8.694052696228027
228096,222.75,8.746345837910969
244480,238.75,8.924007415771484
262144,256.0,9.080330530802408
280832,274.25,9.184479713439941
301056,294.0,8.984128634134928
322688,315.125,10.803540547688801
345856,337.75,9.10937786102295
370688,362.0,9.20275847117106
397312,388.0,8.947332700093586
425728,415.75,8.955160776774088
456320,445.625,9.060502052307129
489088,477.625,9.200096130371094
524288,512.0,12.283047040303547
561792,548.625,9.055773417154947
602240,588.125,8.984804153442383
645376,630.25,9.063243865966797
691712,675.5,9.007612864176432
741376,724.0,8.974353472391764
794624,776.0,9.27273432413737
851584,831.625,8.986870447794596
912768,891.375,9.13854440053304
978304,955.375,11.458357175191242
1048576,1024.0,8.995850880940754
1123712,1097.375,9.064873059590656
1204480,1176.25,9.000619252522785
1290880,1260.625,15.004436175028482
1383552,1351.125,9.011268615722656
1482880,1448.125,9.484370549519856
1589248,1552.0,10.340293248494465
1703296,1663.375,9.267965952555338
1825664,1782.875,9.800910949707031
1956608,1910.75,9.294072786966959
2097152,2048.0,10.424693425496418
2247552,2194.875,9.136637051900227
2408960,2352.5,9.018460909525553
2581888,2521.375,9.866913159688313
2767104,2702.25,19.671320915222168
2965760,2896.25,9.463349978129068
3178624,3104.125,9.828845659891764
3406720,3326.875,11.258482933044434
3651328,3565.75,10.818958282470703
3913344,3821.625,11.136094729105631
4194304,4096.0,10.52093505859375
4495232,4389.875,10.984023412068684
4817920,4705.0,12.325366338094074
5163776,5042.75,12.190977732340494
5534336,5404.625,12.159387270609537
5931520,5792.5,17.451246579488117
6357376,6208.375,22.368709246317543
6813568,6653.875,19.66559886932373
7302656,7131.5,24.823745091756184
7826816,7643.375,22.759199142456055
8388608,8192.0,21.67840798695882
8990592,8779.875,52.636186281840004
9635968,9410.125,25.331974029541016
10327552,10085.5,90.68703651428223
11068800,10809.375,29.017011324564614
11863168,11585.125,85.92629432678223
12714752,12416.75,54.4437567392985
13627264,13307.875,79.84443505605061
14605312,14263.0,100.5479097366333
15653632,15286.75,113.7778361638387
16777216,16384.0,111.07110977172852
17981312,17559.875,114.27056416498789
19271936,18820.25,121.23846820578898
20655104,20171.0,115.51420898195428
22137600,21618.75,119.96819890141659
23726464,23170.375,123.44449359724791
25429504,24833.5,122.15010826269621
27254656,26615.875,122.82048248930384
29210752,28526.125,119.89222324711119
31307392,30573.625,122.76061406413751
33554432,32768.0,128.79852453867593
35962624,35119.75,123.56558483237113
38543872,37640.5,122.99568657762251
41310336,40342.125,124.1529642040836
44275328,43237.625,124.71943742573741
47453056,46340.875,131.0823198966715
50859008,49667.0,124.2144688835981
54509312,53231.75,126.20062666234593
58421632,57052.375,125.25881965547737
62614784,61147.25,127.97522919400843
67108864,65536.0,130.26283184687296
71925376,70239.625,131.5770296888449
77087744,75281.0,132.72133981073134
82620672,80684.25,133.64285716130058
88550656,86475.25,131.89639159759585
94906240,92681.875,134.7363461032699
101718016,99334.0,137.61889208168066
109018624,106463.5,135.80279641027207
116843264,114104.75,136.6211063737487
125229568,122294.5,143.84423440104283
134217728,131072.0,137.7524584531784
143850880,140479.375,135.78831156094867
154175616,150562.125,137.0993951956431
165241344,161368.5,137.2572233279546
177101312,172950.5,140.26593168576557
189812480,185363.75,138.4944866100947
203436032,198668.0,146.4085578918457
218037248,212927.0,138.96402716636658
233686528,228209.5,142.6441619793574
250459136,244589.0,139.65186476707458
268435456,262144.0,140.51586389541626
