wss_bytes,wss_kib,latency_ns
512,0.5,1.5350580215454102
640,0.625,1.5478134155273438
768,0.75,1.535177230834961
1024,1.0,1.5431642532348633
1152,1.125,1.5351374944051106
1280,1.25,1.7675558725992837
1536,1.5,1.535495122273763
1664,1.625,1.5352567036946614
2048,2.0,1.5658537546793618
2304,2.25,1.5352964401245117
2688,2.625,1.5468200047810872
3072,3.0,1.5352567036946614
3456,3.375,1.535177230834961
4096,4.0,1.5377998352050781
4608,4.5,1.5361309051513672
5376,5.25,1.535971959431966
6144,6.0,1.542806625366211
7040,6.875,1.5351374944051106
8192,8.0,1.5352567036946614
9344,9.125,1.5350977579752603
10752,10.5,1.5358527501424153
12416,12.125,1.5352567036946614
14208,13.875,1.5352567036946614
16384,16.0,1.535177230834961
18816,18.375,1.5353361765543618
21504,21.0,1.5350182851155598
24832,24.25,1.5353361765543618
28416,27.75,1.5350580215454102
32768,32.0,1.5350977579752603
37632,36.75,1.535654067993164
43136,42.125,1.5408198038736978
49664,48.5,1.5357732772827148
56960,55.625,1.5353361765543618
65536,64.0,1.5357335408528645
75264,73.5,1.535216967264811
86400,84.375,1.5350182851155598
99328,97.0,1.535177230834961
114048,111.375,1.535177230834961
131072,128.0,1.535177230834961
150528,147.0,5.797664324442545
172928,168.875,7.389267285664876
198656,194.0,8.722662925720215
228096,222.75,8.745431900024414
262144,256.0,9.135802586873371
301056,294.0,8.986393610636393
345856,337.75,8.971095085144043
397312,388.0,9.090065956115723
456320,445.625,9.138027826944986
524288,512.0,9.029388427734375
602240,588.125,9.149312973022461
691712,675.5,9.096304575602213
794624,776.0,10.032852490743
912768,891.375,9.053905804951984
1048576,1024.0,9.251077969868977
1204480,1176.25,8.991161982218424
1383552,1351.125,9.296059608459473
1589248,1552.0,12.54125436147054
1825664,1782.875,9.028236071268717
2097152,2048.0,9.196162223815918
2408960,2352.5,9.003281593322754
2767104,2702.25,9.272615114847818
3178624,3104.125,9.805917739868164
3651328,3565.75,13.244430224100748
4194304,4096.0,10.395646095275879
4817920,4705.0,13.208985328674316
5534336,5404.625,13.7712558110555
6357376,6208.375,17.757733662923176
7302656,7131.5,18.672267595926918
8388608,8192.0,19.90405718485514
9635968,9410.125,24.87643559773763
11068800,10809.375,43.853163719177246
12714752,12416.75,77.84740130106607
14605312,14263.0,67.46423244476318
16777216,16384.0,113.15719286600748
19271936,18820.25,109.44498086059784
22137600,21618.75,113.7394598631589
25429504,24833.5,127.16014175240434
29210752,28526.125,124.76232495943046
33554432,32768.0,131.3823064168294
38543872,37640.5,123.20410708434619
44275328,43237.625,127.61668680730419
50859008,49667.0,125.7684643265817
58421632,57052.375,128.03797287507018
67108864,65536.0,131.59017761548358
77087744,75281.0,131.8231944453669
88550656,86475.25,140.45720903524418
101718016,99334.0,135.3773815905598
116843264,114104.75,137.84641163967027
134217728,131072.0,136.92517578601837
154175616,150562.125,139.95874921480814
177101312,172950.5,138.8350377480189
203436032,198668.0,140.89238146940866
233686528,228209.5,140.68493743737537
268435456,262144.0,142.60859787464142
